Participant,Trial,Environment,Environment_Type,Chosen_Island,Probability,Random_Value,Reward,Score,Response_Time,Win-Stay,Lose-Shift,Exploration,Exploitation,ss1_score,ss1_group
FG001,151,1,High-Fast,1,60,0.3,1,1,5.72,0,0,0,0,0,low ss1
FG001,152,1,High-Fast,3,15,0.87,-1,0,3.43,0,0,1,0,0,low ss1
FG001,153,1,High-Fast,2,25,0.37,-1,-1,1.85,0,1,1,0,0,low ss1
FG001,154,1,High-Fast,1,60,0.02,1,0,0.78,0,1,1,0,0,low ss1
FG001,155,1,High-Fast,1,60,0.32,1,1,0.54,1,0,0,1,0,low ss1
FG001,156,1,High-Fast,1,60,0.92,-1,0,0.48,1,0,0,1,0,low ss1
FG001,157,1,High-Fast,2,25,0.18,1,1,1.16,0,1,1,0,0,low ss1
FG001,158,1,High-Fast,2,25,0.25,1,2,0.6,1,0,0,1,0,low ss1
FG001,159,1,High-Fast,2,25,0.95,-1,1,1.08,1,0,0,1,0,low ss1
FG001,160,1,High-Fast,3,15,0.85,-1,0,1.12,0,1,1,0,0,low ss1
FG001,161,1,High-Fast,1,25,0.9,-1,-1,0.76,0,1,1,0,0,low ss1
FG001,162,1,High-Fast,2,15,0.81,-1,-2,0.98,0,1,1,0,0,low ss1
FG001,163,1,High-Fast,3,60,0.16,1,-1,0.61,0,1,1,0,0,low ss1
FG001,164,1,High-Fast,3,60,0.6,-1,-2,1.36,1,0,0,1,0,low ss1
FG001,165,1,High-Fast,1,25,0.77,-1,-3,0.57,0,1,1,0,0,low ss1
FG001,166,1,High-Fast,2,15,0.21,-1,-4,1.02,0,1,1,0,0,low ss1
FG001,167,1,High-Fast,1,25,0.97,-1,-5,6.88,0,1,1,0,0,low ss1
FG001,168,1,High-Fast,3,60,0.43,1,-4,0.5,0,1,1,0,0,low ss1
FG001,169,1,High-Fast,2,15,0.18,-1,-5,0.79,0,0,1,0,0,low ss1
FG001,170,1,High-Fast,3,60,0.39,1,-4,0.7,0,1,1,0,0,low ss1
FG001,171,1,High-Fast,3,25,0.01,1,-3,0.38,1,0,0,1,0,low ss1
FG001,172,1,High-Fast,3,25,0.74,-1,-4,0.27,1,0,0,1,0,low ss1
FG001,173,1,High-Fast,1,15,0.78,-1,-5,0.65,0,1,1,0,0,low ss1
FG001,174,1,High-Fast,2,60,0.65,-1,-6,0.36,0,1,1,0,0,low ss1
FG001,175,1,High-Fast,2,60,0.54,1,-5,0.92,0,0,0,1,0,low ss1
FG001,176,1,High-Fast,2,60,0.31,1,-4,0.52,1,0,0,1,0,low ss1
FG001,177,1,High-Fast,2,60,0.67,-1,-5,0.43,1,0,0,1,0,low ss1
FG001,178,1,High-Fast,1,15,0.64,-1,-6,1.24,0,1,1,0,0,low ss1
FG001,179,1,High-Fast,1,15,0.06,1,-5,0.37,0,0,0,1,0,low ss1
FG001,180,1,High-Fast,1,15,0.29,-1,-6,0.42,1,0,0,1,0,low ss1
FG001,181,1,High-Fast,3,25,0.33,-1,-7,0.64,0,1,1,0,0,low ss1
FG001,182,1,High-Fast,2,15,1.0,-1,-8,2.38,0,1,1,0,0,low ss1
FG001,183,1,High-Fast,2,15,0.15,1,-7,0.77,0,0,0,1,0,low ss1
FG001,184,1,High-Fast,2,15,0.1,1,-6,0.47,1,0,0,1,0,low ss1
FG001,185,1,High-Fast,1,60,0.93,-1,-7,1.2,0,0,1,0,0,low ss1
FG001,186,1,High-Fast,3,25,0.54,-1,-8,0.62,0,1,1,0,0,low ss1
FG001,187,1,High-Fast,3,25,0.34,-1,-9,0.68,0,0,0,1,0,low ss1
FG001,188,1,High-Fast,3,25,0.96,-1,-10,0.46,0,0,0,1,0,low ss1
FG001,189,1,High-Fast,1,60,0.13,1,-9,0.52,0,1,1,0,0,low ss1
FG001,190,1,High-Fast,1,60,0.62,-1,-10,0.47,1,0,0,1,0,low ss1
FG001,191,1,High-Fast,2,25,0.27,-1,-11,1.19,0,1,1,0,0,low ss1
FG001,192,1,High-Fast,2,25,0.8,-1,-12,0.46,0,0,0,1,0,low ss1
FG001,193,1,High-Fast,2,25,0.07,1,-11,0.48,0,0,0,1,0,low ss1
FG001,194,1,High-Fast,2,25,0.33,-1,-12,1.71,1,0,0,1,0,low ss1
FG001,195,1,High-Fast,3,60,0.17,1,-11,1.37,0,1,1,0,0,low ss1
FG001,196,1,High-Fast,3,60,0.49,1,-10,0.65,1,0,0,1,0,low ss1
FG001,197,1,High-Fast,1,15,0.45,-1,-11,1.39,0,0,1,0,0,low ss1
FG001,198,1,High-Fast,2,25,0.47,-1,-12,0.71,0,1,1,0,0,low ss1
FG001,199,1,High-Fast,1,15,0.9,-1,-13,0.22,0,1,1,0,0,low ss1
FG001,200,1,High-Fast,1,15,0.07,1,-12,0.33,0,0,0,1,0,low ss1
FG001,1,2,Low-Slow,3,5,0.14,-1,-13,2.13,0,0,1,0,0,low ss1
FG001,2,2,Low-Slow,2,15,0.34,-1,-14,1.4,0,1,1,0,0,low ss1
FG001,3,2,Low-Slow,2,15,0.79,-1,-15,0.44,0,0,0,1,0,low ss1
FG001,4,2,Low-Slow,1,80,0.1,1,-14,0.55,0,1,1,0,0,low ss1
FG001,5,2,Low-Slow,1,80,0.35,1,-13,0.43,1,0,0,1,0,low ss1
FG001,6,2,Low-Slow,1,80,0.1,1,-12,0.41,1,0,0,1,0,low ss1
FG001,7,2,Low-Slow,3,5,0.65,-1,-13,1.16,0,0,1,0,0,low ss1
FG001,8,2,Low-Slow,2,15,0.34,-1,-14,0.68,0,1,1,0,0,low ss1
FG001,9,2,Low-Slow,2,15,0.52,-1,-15,1.54,0,0,0,1,0,low ss1
FG001,10,2,Low-Slow,3,5,0.93,-1,-16,1.36,0,1,1,0,0,low ss1
FG001,11,2,Low-Slow,3,5,0.24,-1,-17,1.3,0,0,0,1,0,low ss1
FG001,12,2,Low-Slow,3,5,0.0,1,-16,0.44,0,0,0,1,0,low ss1
FG001,13,2,Low-Slow,3,5,0.3,-1,-17,2.33,1,0,0,1,0,low ss1
FG001,14,2,Low-Slow,2,15,0.32,-1,-18,1.83,0,1,1,0,0,low ss1
FG001,15,2,Low-Slow,2,15,0.43,-1,-19,1.01,0,0,0,1,0,low ss1
FG001,16,2,Low-Slow,2,15,0.82,-1,-20,0.79,0,0,0,1,0,low ss1
FG001,17,2,Low-Slow,1,80,0.38,1,-19,0.53,0,1,1,0,0,low ss1
FG001,18,2,Low-Slow,1,80,0.82,-1,-20,0.46,1,0,0,1,0,low ss1
FG001,19,2,Low-Slow,3,5,0.53,-1,-21,0.63,0,1,1,0,0,low ss1
FG001,20,2,Low-Slow,2,15,0.55,-1,-22,0.36,0,1,1,0,0,low ss1
FG001,21,2,Low-Slow,2,15,0.53,-1,-23,0.64,0,0,0,1,0,low ss1
FG001,22,2,Low-Slow,3,5,0.04,1,-22,0.67,0,1,1,0,0,low ss1
FG001,23,2,Low-Slow,3,5,0.81,-1,-23,1.02,1,0,0,1,0,low ss1
FG001,24,2,Low-Slow,3,5,0.99,-1,-24,0.39,0,0,0,1,0,low ss1
FG001,25,2,Low-Slow,3,80,0.24,1,-23,0.29,0,0,0,1,0,low ss1
FG001,26,2,Low-Slow,1,15,0.49,-1,-24,0.83,0,0,1,0,0,low ss1
FG001,27,2,Low-Slow,1,15,0.02,1,-23,2.11,0,0,0,1,0,low ss1
FG001,28,2,Low-Slow,1,15,0.49,-1,-24,0.74,1,0,0,1,0,low ss1
FG001,29,2,Low-Slow,2,5,0.74,-1,-25,0.65,0,1,1,0,0,low ss1
FG001,30,2,Low-Slow,2,5,0.51,-1,-26,0.83,0,0,0,1,0,low ss1
FG001,31,2,Low-Slow,2,5,0.6,-1,-27,0.18,0,0,0,1,0,low ss1
FG001,32,2,Low-Slow,3,80,0.25,1,-26,0.3,0,1,1,0,0,low ss1
FG001,33,2,Low-Slow,3,80,0.66,1,-25,0.68,1,0,0,1,0,low ss1
FG001,34,2,Low-Slow,3,80,0.64,1,-24,0.31,1,0,0,1,0,low ss1
FG001,35,2,Low-Slow,3,80,0.71,1,-23,0.26,1,0,0,1,0,low ss1
FG001,36,2,Low-Slow,3,80,0.48,1,-22,0.19,1,0,0,1,0,low ss1
FG001,37,2,Low-Slow,3,80,0.65,1,-21,0.13,1,0,0,1,0,low ss1
FG001,38,2,Low-Slow,3,80,0.85,-1,-22,0.03,1,0,0,1,0,low ss1
FG001,39,2,Low-Slow,2,5,0.57,-1,-23,1.14,0,1,1,0,0,low ss1
FG001,40,2,Low-Slow,2,5,0.99,-1,-24,0.18,0,0,0,1,0,low ss1
FG001,41,2,Low-Slow,2,5,0.67,-1,-25,0.12,0,0,0,1,0,low ss1
FG001,42,2,Low-Slow,1,15,0.64,-1,-26,0.67,0,1,1,0,0,low ss1
FG001,43,2,Low-Slow,1,15,0.84,-1,-27,0.11,0,0,0,1,0,low ss1
FG001,44,2,Low-Slow,1,15,0.91,-1,-28,0.12,0,0,0,1,0,low ss1
FG001,45,2,Low-Slow,3,80,0.67,1,-27,1.88,0,1,1,0,0,low ss1
FG001,46,2,Low-Slow,3,80,0.78,1,-26,0.27,1,0,0,1,0,low ss1
FG001,47,2,Low-Slow,3,80,0.03,1,-25,0.29,1,0,0,1,0,low ss1
FG001,48,2,Low-Slow,3,80,0.9,-1,-26,0.51,1,0,0,1,0,low ss1
